dataset,subject_id,relpath,label
ami,000,000_back_ear.jpg,0
ami,000,000_down_ear.jpg,0
ami,000,000_front_ear.jpg,0
ami,000,000_left_ear.jpg,0
ami,000,000_right_ear.jpg,0
ami,000,000_up_ear.jpg,0
ami,000,000_zoom_ear.jpg,0
ami,001,001_back_ear.jpg,1
ami,001,001_down_ear.jpg,1
ami,001,001_front_ear.jpg,1
ami,001,001_left_ear.jpg,1
ami,001,001_right_ear.jpg,1
ami,001,001_up_ear.jpg,1
ami,001,001_zoom_ear.jpg,1
ami,002,002_back_ear.jpg,2
ami,002,002_down_ear.jpg,2
ami,002,002_front_ear.jpg,2
ami,002,002_left_ear.jpg,2
ami,002,002_right_ear.jpg,2
ami,002,002_up_ear.jpg,2
ami,002,002_zoom_ear.jpg,2
ami,003,003_back_ear.jpg,3
ami,003,003_down_ear.jpg,3
ami,003,003_front_ear.jpg,3
ami,003,003_left_ear.jpg,3
ami,003,003_right_ear.jpg,3
ami,003,003_up_ear.jpg,3
ami,003,003_zoom_ear.jpg,3
ami,004,004_back_ear.jpg,4
ami,004,004_down_ear.jpg,4
ami,004,004_front_ear.jpg,4
ami,004,004_left_ear.jpg,4
ami,004,004_right_ear.jpg,4
ami,004,004_up_ear.jpg,4
ami,004,004_zoom_ear.jpg,4
ami,005,005_back_ear.jpg,5
ami,005,005_down_ear.jpg,5
ami,005,005_front_ear.jpg,5
ami,005,005_left_ear.jpg,5
ami,005,005_right_ear.jpg,5
ami,005,005_up_ear.jpg,5
ami,005,005_zoom_ear.jpg,5
ami,007,007_back_ear.jpg,6
ami,007,007_down_ear.jpg,6
ami,007,007_front_ear.jpg,6
ami,007,007_left_ear.jpg,6
ami,007,007_right_ear.jpg,6
ami,007,007_up_ear.jpg,6
ami,007,007_zoom_ear.jpg,6
ami,008,008_back_ear.jpg,7
ami,008,008_down_ear.jpg,7
ami,008,008_front_ear.jpg,7
ami,008,008_left_ear.jpg,7
ami,008,008_right_ear.jpg,7
ami,008,008_up_ear.jpg,7
ami,008,008_zoom_ear.jpg,7
