dataset,subject_id,relpath,label,split,protocol,verif_label
ami,000,000_back_ear.jpg,0,heldout_probe,subject_disjoint,
ami,000,000_down_ear.jpg,0,heldout_probe,subject_disjoint,
ami,000,000_front_ear.jpg,0,heldout_probe,subject_disjoint,
ami,000,000_left_ear.jpg,0,heldout_probe,subject_disjoint,
ami,000,000_right_ear.jpg,0,heldout_probe,subject_disjoint,
ami,000,000_up_ear.jpg,0,heldout_probe,subject_disjoint,
ami,000,000_zoom_ear.jpg,0,heldout_probe,subject_disjoint,
ami,004,004_back_ear.jpg,4,heldout_probe,subject_disjoint,
ami,004,004_down_ear.jpg,4,heldout_probe,subject_disjoint,
ami,004,004_front_ear.jpg,4,heldout_probe,subject_disjoint,
ami,004,004_left_ear.jpg,4,heldout_probe,subject_disjoint,
ami,004,004_right_ear.jpg,4,heldout_probe,subject_disjoint,
ami,004,004_up_ear.jpg,4,heldout_probe,subject_disjoint,
ami,004,004_zoom_ear.jpg,4,heldout_probe,subject_disjoint,
ami,019,019_back_ear.jpg,15,heldout_probe,subject_disjoint,
ami,019,019_down_ear.jpg,15,heldout_probe,subject_disjoint,
ami,019,019_front_ear.jpg,15,heldout_probe,subject_disjoint,
ami,019,019_left_ear.jpg,15,heldout_probe,subject_disjoint,
ami,019,019_right_ear.jpg,15,heldout_probe,subject_disjoint,
ami,019,019_up_ear.jpg,15,heldout_probe,subject_disjoint,
ami,019,019_zoom_ear.jpg,15,heldout_probe,subject_disjoint,
ami,029,029_back_ear.jpg,25,heldout_probe,subject_disjoint,
ami,029,029_down_ear.jpg,25,heldout_probe,subject_disjoint,
ami,029,029_front_ear.jpg,25,heldout_probe,subject_disjoint,
ami,029,029_left_ear.jpg,25,heldout_probe,subject_disjoint,
ami,029,029_right_ear.jpg,25,heldout_probe,subject_disjoint,
ami,029,029_up_ear.jpg,25,heldout_probe,subject_disjoint,
ami,029,029_zoom_ear.jpg,25,heldout_probe,subject_disjoint,
ami,032,032_back_ear.jpg,28,heldout_probe,subject_disjoint,
ami,032,032_down_ear.jpg,28,heldout_probe,subject_disjoint,
ami,032,032_front_ear.jpg,28,heldout_probe,subject_disjoint,
ami,032,032_left_ear.jpg,28,heldout_probe,subject_disjoint,
ami,032,032_right_ear.jpg,28,heldout_probe,subject_disjoint,
ami,032,032_up_ear.jpg,28,heldout_probe,subject_disjoint,
ami,032,032_zoom_ear.jpg,28,heldout_probe,subject_disjoint,
ami,033,033_back_ear.jpg,29,heldout_probe,subject_disjoint,
ami,033,033_down_ear.jpg,29,heldout_probe,subject_disjoint,
ami,033,033_front_ear.jpg,29,heldout_probe,subject_disjoint,
